Lp	Lon	Lat	ROrder	AbiotType	Geol	Site	River	RBasin	Ecoreg	Mon	Year	Dist	Alt	Width	Dam	Lake	Geomor	FloodVal	Source	FlowDis	BasinArea	AvT	AvJanT	AvJulT	WaterT	FiReach	FiWidth	FiArea	FiDepth	Slope	Tree	Bush	Subs	Substr	Flow	Cond	Ripar	FishSp	spirl	bitt	pred	Asp	Perch	fario	Lota	Zander	Ruffe	Wels	Chubb	Acat	Rain	trutta	Brook	Eel
54	19.211281	49.966142	2	15	calc	Leki	Sola	Wisla	14	8	2011	75	247	26	Yes	No	NatStra	Yes	rain	Yes	1200	7.5	-1.8	17.8	12	300	15	4500	70	1.96	No	No	3	GravSton	1.5	360	meadow	14	1	1	4	0	1	1	0	1	0	0	1	0	0	0	0	0
64	17.022851	51.48138	2	19	orga	powZmigroduIujsciaSasiecznicy	Barycz	Odra	14	10	2017	68	96	17	No	No	Sine	Yes	rain	Yes	1180	7.5	-1.8	17.8	11	500	2.5	1250	150	0.1	Yes	Yes	3	sand	0.43	399	forest	12	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
68	19.337922	50.262994	3	8	sili	SlawkowRyszka	BialaPrzemsza	Wisla	14	9	2011	50	272	26	No	No	RegMean	Yes	rain	No	443	7.5	-1.8	17.8	12	1720	8	13760	150	1.24	No	No	5	GravSton	2	820	forest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	19.97576	50.17983	2	12	calc	Wilczkowice	Dlubnia	Wisla	14	10	2011	26	246	6.5	No	No	RegMean	No	rain	Yes	189	7.5	-1.8	17.8	14	230	6.5	1495	30	1.57	Yes	No	5	GravSton	1.5	525	field	4	0	0	3	0	1	1	0	0	0	0	0	0	1	0	0	0
73	20.530978	50.25855	2	9	calc	KazimierzaMaLa	Nidzica	Wisla	14	10	2011	42	184	6	No	No	RegMean	Yes	rain	Yes	620	7.5	-1.8	17.8	15	1900	6	11400	80	1.57	No	No	1	MudClay	1.2	687	meadow	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
76	19.476173	54.013497	2	7	sili	GradowyMLyn	Brzeznica	MorBalt	14	8	2017	22	9	2	No	No	Sine	No	rain	Yes 	48.4	7	0	16	NA	150	2	300	10	5	Yes 	Yes 	3	sand	NA	NA	forest	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	19.366513	50.047584	2	6	sili	Metkow	Chechlo	Wisla	14	10	2017	25	220	3.5	Yes 	No	NatStra	Yes	rain	Yes 	115	8.5	-3.5	18.6	10	100	3.5	350	55	1.8	No	Yes 	3	sand	0.26	690	barren	8	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0
78	22.45018	50.30522	2	15	sili	StareMiastokLezajska	San	Wisla	14	8	2011	378	158	180	Yes	No	HiMean	Yes	rain	No	12900.6	7.5	-3.9	17.7	21	5570	15	83550	250	0.19	Yes	Yes	5	sand	0.8	270	field	17	1	0	5	1	1	0	1	0	0	1	1	0	0	0	0	0
85	19.802565	54.386346	2	17	sili	Braniewo	CzerwonyRow	MorBalt	14	8	2017	11.7	5.6	1.2	Yes 	No	Sine	Yes	rain	Yes 	22	7	0	16	NA	150	1.2	180	10	2	Yes 	Yes 	3	sand	NA	NA	barren	5	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
90	22.817687	54.283979	2	20	sili	StaraHancza	CzarnaHancza	Niemen	14	9	2017	9.6	228	2.5	No	No	RegMean	Yes	rain	No	20.8	7.4	-4.2	18.3	11.2	272	2.5	680	80	3.5	Yes 	No	5	GravSton	0.3	287	forest	5	0	0	3	0	1	1	1	0	0	0	0	0	0	0	0	0
95	21.91893	50.67863	2	12	sili	Radomysl	San	Wisla	14	9	2011	433	141	100	No	No	HiMean	Yes	rain	No	16823	7.5	-3.9	17.7	21	5800	10	58000	150	0.31	Yes	Yes	5	sand	0.5	230	meadow	17	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
95	18.239612	54.830407	1	22	sili	Karwia	CzarnaWda	MorBalt	14	10	2017	8	0.5	9	No	No	RegMean	Yes	rain	Yes 	20.8	7	0	16	NA	500	2.5	1250	80	0.25	No	No	1	sand	NA	NA	field	7	0	0	6	1	0	0	1	1	0	1	1	0	0	0	0	1
102	15.833184	53.284847	5	18	sili	DrawicapowyzejjezMakowarskiegomMakowary	Drawica	Odra	14	9	2017	17	90	5	No	Yes 	Sine	No	rain	No	114.4	8.5	-1.4	17.6	14	150	3	450	20	0.5	Yes 	Yes 	3	sand	0.38	303	forest	6	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0
108	20.728991	50.242108	2	15	calc	UjscieJezuickie	Dunajec	Wisla	14	10	2017	272	175	110	Yes 	No	Sine	Yes	rain	Yes 	6804	8.3	-2.6	18	11.7	800	5	4000	100	0.5	Yes 	Yes 	3	GravSton	0.36	850	barren	12	1	1	3	0	0	0	1	0	0	1	1	0	0	0	0	0
112	22.32188	50.76316	2	6	calc	Modliborzyce	Sanna	Wisla	14	10	2011	8	202	6	Yes	No	NatStra	Yes	rain	Yes	110	7.5	-3.9	17.7	23	900	10	9000	130	1.36	Yes	Yes	1	MudClay	0.7	360	meadow	7	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
119	21.92926	49.56933	3	12	calc	Sieniawa	Wislok	Wisla	14	10	2011	37.9	303	17.5	Yes	No	NatStra	No	rain	Yes	213	8.2	-2	18	16	180	5	900	30	5.01	Yes	Yes	5	GravSton	0.8	220	forest	10	1	0	5	0	1	1	0	0	0	0	1	0	1	0	0	1
120	18.421112	53.341118	2	17	sili	CheLmno	Fryba	Wisla	14	10	2017	35	32	2	No	No	RegMean	No	rain	Yes 	354.6	7	0	16	NA	150	2	300	20	1	No	No	1	sand	NA	NA	builtroad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	18.682219	52.174347	3	24	orga	RgilewkaPowiercie	Rgilewka	Odra	14	9	2018	43.5	92	12.5	No	No	NatStra	Yes	rain	Yes 	241	8.8	-1.9	18.3	20.2	500	1.5	750	125	0.2	No	No	1	MudClay	0.03	890	meadow	4	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
121	22.558377	49.234263	3	12	sili	GLebokiZatwarnica	Gleboki	Wisla	10	8	2017	8	498	5	No	No	Sine	No	snow	No	32	6	-4	15	15.2	200	4	800	0.15	33.9	Yes 	Yes 	5	GravSton	NA	440	forest	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
124	16.5881	52.498542	3	20	orga	SamaKiaczyn	Sama	Odra	14	8	2018	10.5	74.8	4.2	Yes 	Yes 	Sine	Yes	rain	No	448.4	8.8	-1.9	18.3	18.9	150	4.2	630	55	0.2	Yes 	Yes 	1	sand	0.19	341	field	5	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
125	16.563808	54.539343	1	0	sili	GLownicaujsciedomorzamJarosLawiec	Glownica	MorBalt	14	10	2017	2.1	1.6	6	Yes 	Yes 	NatStra	No	rain	No	111.8	8.5	-1.4	17.6	5	200	2	400	60	0.01	Yes 	Yes 	1	sand	0.46	882	forest	5	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0
129	17.9525	53.642222	3	25	sili	BielskaStruga	BielskaStruga	Wisla	14	9	2011	28.7	94	6	Yes	No	Sine	No	rain	No	156	7.5	-2	17	NA	150	6	900	30	1.9	Yes	Yes	5	sand	1	220	forest	13	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0
129	18.428236	52.213453	3	23	orga	TopiecDraznoHolendry	Topiec	Odra	14	9	2018	21.5	85.3	4.5	No	No	NatStra	Yes	rain	Yes 	137.2	8.8	-1.9	18.3	16.6	100	4.5	450	33	0.2	No	No	1	sand	0	623	field	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
130	15.058367	53.315885	2	24	sili	InapowyzejujsciaMaLejIny	Ina	Odra	14	10	2017	73	15	7	No	No	Sine	Yes	rain	No	1151	8.5	-1.4	17.6	11	200	6	1200	120	0.7	Yes 	No	3	sand	0.45	439	meadow	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	17.699878	51.54055	3	17	orga	ZLotnicaswieca	Zlotnica	Odra	14	8	2018	25.5	119.2	3.2	No	No	NatStra	Yes	rain	Yes 	132.5	8.8	-1.9	18.3	19.6	100	3.2	320	38	0.2	Yes 	Yes 	3	sand	0.19	323	field	5	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
135	18.915642	53.734878	3	26	sili	Kwidzyn	KanalPalemona	Wisla	14	10	2017	20	10	6.5	No	No	NatStra	Yes	rain	Yes 	163.5	7	-1	17	10	500	2.5	1250	200	0.5	No	No	1	sand	NA	NA	builtroad	10	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
137	16.922639	53.261053	5	20	orga	GLomiaDolnik	Glomia	Odra	14	10	2018	32.1	87.5	8.2	No	No	RegMean	Yes	rain	No	570	8.8	-1.9	18.3	12.5	150	3	450	68	0.6	Yes 	Yes 	5	GravSton	0.48	522	barren	11	1	1	3	0	1	1	0	0	0	0	1	0	0	0	0	0
142	17.443229	54.23221	2	17	sili	Gostkowo	Bytowa	MorBalt	14	10	2011	23	97	5	No	No	HiMean	No	rain	No	153	8	-1	17	NA	150	5	750	50	1.2	Yes	No	1	sand	1	500	meadow	8	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0
145	22.02343	52.26537	5	23	sili	Proszew	Kostrzyn	Wisla	14	9	2017	45.7	127	12	No	No	Sine	Yes	rain	Yes 	703.4	8.5	-2	18	14	218	2	436	200	0.7	No	No	3	sand	NA	383.3	meadow	9	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0
149	16.562489	52.682692	3	20	orga	SamaSLopanowoHuby	Sama	Odra	14	10	2018	36.5	48.1	5.3	No	No	Sine	Yes	rain	No	448.4	8.8	-1.9	18.3	12.8	150	5.3	795	38	0.2	Yes 	Yes 	3	sand	0.31	370	meadow	5	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0
150	17.209744	53.924324	2	25	sili	StaraBrda	Brda	Wisla	14	8	2011	23	142	6	No	No	Sine	No	rain	No	97	8	-1.5	17	NA	150	6	900	25	1.4	Yes	No	3	sand	1	500	forest	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
152	17.856222	53.691417	3	18	sili	NowyMLyn	CzerskaStruga	Wisla	14	9	2011	31	101	8	No	No	RegMean	No	rain	No	152	7.5	-2	17	NA	150	8	1200	70	2.1	Yes	No	3	sand	1	500	meadow	10	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0
154	19.848824	54.332423	2	17	sili	Bemowizna	laznica	MorBalt	14	8	2017	22	24.8	3.5	No	No	RegMean	No	rain	No	44.5	7	0	16	NA	150	3.5	525	25	3	Yes 	Yes 	3	sand	NA	NA	forest	4	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0
154	17.646083	51.490178	3	17	orga	PolskaWodaMariak	PolskaWoda	Odra	14	8	2018	28	129.1	5.6	No	No	Sine	Yes	rain	Yes 	127	8.8	-1.9	18.3	21.2	150	5.6	840	20	0.2	Yes 	No	1	sand	0.19	250	forest	7	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
158	17.560424	54.654568	1	24	sili	Cecenowo	leba	MorBalt	14	10	2017	97	1.5	15	No	No	HiMean	Yes	rain	No	1801	7	0	16	NA	500	2.5	1250	200	0.5	No	No	1	sand	NA	NA	meadow	7	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
161	17.1633	50.7315	4	16	sili	JegLowkaujsciedoKrynkimJegLowa	Jeglowka	Odra	14	8	2018	4.9	164	1.9	No	No	NatStra	Yes	rain	No	32	8.8	-1.9	18.3	17.3	100	1.9	190	30	0.5	Yes 	Yes 	3	sand	0.01	646	builtroad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	18.948064	53.517526	3	19	sili	RogoznoZamek	Gardega	Wisla	14	9	2011	52.7	32	4.5	Yes	No	Sine	No	rain	No	323	8	-1.5	17.5	NA	150	4.5	675	40	10	Yes	Yes	3	GravSton	1	500	builtroad	7	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0
162	17.27761	51.03284	2	23	orga	MLynowkaJeleckaujsciedoOdrymLeg	MlynowkaJelecka	Odra	14	8	2018	9.2	121.5	4.5	No	No	NatStra	Yes	rain	Yes 	72.7	8.8	-1.9	18.3	17.3	100	4.5	450	20	0.2	Yes 	Yes 	1	GravSton	0.01	645	field	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
163	17.36145	51.16155	3	17	sili	swierznamostOlesniczkaLigotaWlk	swierzna	Odra	14	8	2018	19.5	128	2.6	No	No	Sine	Yes	rain	No	88.7	8.8	-1.9	18.3	19	100	2.6	260	35	0.2	Yes 	Yes 	1	sand	0	617	forest	6	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0
